# testDate, testTime, B[mT], f[Hz], alpha1[Deg], alpha2[Deg], isWalking, displacement[mm/step]
20200820,153026,10.000,01.000,00.000,30.000,False,0.168108178
20200820,153103,10.000,01.000,00.000,30.000,False,0.429019327
20200820,153124,10.000,01.000,00.000,30.000,False,0.545966035
20200820,153200,10.000,01.000,00.000,30.000,False,0.569900047
20200820,153220,10.000,01.000,00.000,30.000,False,0.639173997
20200820,153340,10.000,01.000,00.000,35.000,False,0.633669792
20200820,153402,10.000,01.000,00.000,35.000,False,0.708262232
20200820,153430,10.000,01.000,00.000,35.000,False,0.571804692
20200820,153446,10.000,01.000,00.000,35.000,False,0.715484858
20200820,153529,10.000,01.000,00.000,35.000,False,0.832311955
20200820,153556,10.000,01.000,00.000,40.000,False,0.856220121
20200820,153634,10.000,01.000,00.000,40.000,False,0.729935789
20200820,153649,10.000,01.000,00.000,40.000,False,0.697366706
20200820,153705,10.000,01.000,00.000,40.000,False,0.820551211
20200820,153740,10.000,01.000,00.000,40.000,False,0.642759063
20200820,153859,10.000,01.000,00.000,45.000,False,0.425992483
20200820,153914,10.000,01.000,00.000,45.000,False,0.643226478
20200820,153930,10.000,01.000,00.000,45.000,False,0.691439645
20200820,153946,10.000,01.000,00.000,45.000,False,0.811023003
20200820,154017,10.000,01.000,00.000,45.000,False,0.610041771
20200820,154033,10.000,01.000,00.000,50.000,False,0.573035817
20200820,154052,10.000,01.000,00.000,50.000,False,0.45867947
20200820,154207,10.000,01.000,00.000,50.000,False,0.353797175
20200820,154223,10.000,01.000,00.000,50.000,False,0.474632503
20200820,154239,10.000,01.000,00.000,50.000,False,0.509932438
20200820,154354,10.000,01.000,00.000,55.000,False,0.112832505
20200820,154626,10.000,01.000,00.000,55.000,False,0.15104592
20200820,154647,10.000,01.000,00.000,55.000,False,0.139270626
20200820,154703,10.000,01.000,00.000,55.000,False,0.13160018
20200820,154719,10.000,01.000,00.000,55.000,False,0.23142634
20200820,154745,10.000,01.000,00.000,60.000,False,1.143199524
20200820,154811,10.000,01.000,00.000,60.000,False,0.813420881
20200820,154826,10.000,01.000,00.000,60.000,False,1.00492272
20200820,154851,10.000,01.000,00.000,60.000,False,0.762790189
20200820,154906,10.000,01.000,00.000,60.000,False,1.293549355
20200820,154932,10.000,01.000,00.000,65.000,True,0.952902455
20200820,154954,10.000,01.000,00.000,65.000,False,0.900860682
20200820,155010,10.000,01.000,00.000,65.000,True,1.469074593
20200820,155039,10.000,01.000,00.000,65.000,True,0.79462499
20200820,155111,10.000,01.000,00.000,65.000,True,1.062023605
20200820,155139,10.000,01.000,00.000,70.000,True,0.957727251
20200820,155154,10.000,01.000,00.000,70.000,True,1.107368707
20200820,155222,10.000,01.000,00.000,70.000,True,0.685868917
20200820,155237,10.000,01.000,00.000,70.000,True,0.866051394
20200820,155252,10.000,01.000,00.000,70.000,True,0.962999098
20200820,155329,10.000,01.000,00.000,75.000,True,1.055111861
20200820,155421,10.000,01.000,00.000,75.000,True,0.991226953
20200820,155440,10.000,01.000,00.000,75.000,True,1.314964101
20200820,155525,10.000,01.000,00.000,75.000,True,0.68343977
20200820,155541,10.000,01.000,00.000,75.000,True,0.922189383
20200820,155558,10.000,01.000,00.000,80.000,True,1.0217098
20200820,155642,10.000,01.000,00.000,80.000,True,0.982912269
20200820,155658,10.000,01.000,00.000,80.000,True,1.159426287
20200820,155713,10.000,01.000,00.000,80.000,True,1.150793316
20200820,155800,10.000,01.000,00.000,80.000,True,0.910425329
20200820,155816,10.000,01.000,00.000,85.000,True,0.987181106
20200820,155833,10.000,01.000,00.000,85.000,True,1.33937012
20200820,160121,10.000,01.000,00.000,85.000,True,1.241326715
20200820,160136,10.000,01.000,00.000,85.000,True,0.905289251
20200820,160152,10.000,01.000,00.000,85.000,True,1.083642323
20200820,160230,10.000,01.000,00.000,90.000,True,1.285689194
20200820,160247,10.000,01.000,00.000,90.000,True,1.155926565
20200820,160318,10.000,01.000,00.000,90.000,True,0.878953195
20200820,160334,10.000,01.000,00.000,90.000,True,1.082079605
20200820,160349,10.000,01.000,00.000,90.000,True,1.384123271
20200820,160424,10.000,01.000,05.000,30.000,False,0.631199223
20200820,160441,10.000,01.000,05.000,30.000,False,0.67255678
20200820,160501,10.000,01.000,05.000,30.000,False,0.275679272
20200820,160519,10.000,01.000,05.000,30.000,False,0.479662484
20200820,160534,10.000,01.000,05.000,30.000,False,0.627758213
